날짜,시가,고가,저가,종가,거래량,등락률
2025-04-21,174800,180000,174500,176600,1877473,0.9142857142857144
2025-04-22,175000,175500,173300,173800,2008388,-1.5855039637599093
2025-04-23,179100,181600,178100,181000,3857373,4.1426927502876865
2025-04-24,182800,183400,177600,178300,3162156,-1.4917127071823204
2025-04-25,182500,184900,182100,184400,3507810,3.4212002243409985
2025-04-28,183500,183900,179700,182000,2455710,-1.3015184381778742
2025-04-29,182000,182900,179100,180800,1866386,-0.6593406593406593
2025-04-30,179100,180000,176700,177500,2354473,-1.825221238938053
2025-05-02,179400,186200,178400,186000,3886874,4.788732394366197
2025-05-07,187700,191500,185900,190800,3830097,2.5806451612903225
2025-05-08,196000,196000,189400,190300,5125330,-0.2620545073375262
2025-05-09,192000,192800,186800,190100,2539822,-0.10509721492380451
2025-05-12,193600,195200,193500,195000,1624884,2.5775907417148867
2025-05-13,200500,201500,197300,198500,3385009,1.7948717948717947
2025-05-14,207000,207000,204000,206000,3333511,3.7783375314861463
2025-05-15,207500,208000,199500,200500,3178957,-2.669902912621359
2025-05-16,206000,206750,203500,204500,2419507,1.99501246882793
2025-05-19,203000,203000,197500,199400,2482673,-2.493887530562347
2025-05-20,202500,208000,201500,202000,2820546,1.3039117352056169
2025-05-21,204500,205000,199900,200500,1721760,-0.7425742574257426
2025-05-22,199900,201500,196500,196900,1988587,-1.7955112219451372
2025-05-23,199900,201500,198700,200000,1538701,1.5744032503809042
2025-05-26,200000,203500,196900,203000,1459997,1.5
2025-05-27,200500,203500,200000,202500,1424916,-0.24630541871921183
2025-05-28,206500,209500,206000,208000,3161188,2.7160493827160495
2025-05-29,214500,214500,207500,212000,3827689,1.9230769230769231
2025-05-30,210000,210000,203000,204500,4826628,-3.5377358490566038
2025-06-02,205000,208500,203000,207500,1775752,1.466992665036675
2025-06-04,218000,223000,216500,217500,5108674,4.819277108433735
2025-06-05,225500,230000,222000,224500,5768506,3.218390804597701
2025-06-09,233000,233500,228000,229000,3666084,2.0044543429844097
2025-06-10,231000,232500,227500,230500,3718655,0.6550218340611353
2025-06-11,236000,241000,235000,240000,4230421,4.121475054229935
2025-06-12,242500,246500,235000,235500,4994238,-1.875
2025-06-13,240500,243000,233750,235500,4100610,0.0
2025-06-16,238000,248500,238000,248000,3760740,5.3078556263269645
2025-06-17,253000,260000,248000,249000,5044669,0.4032258064516129
2025-06-18,245500,252000,245000,246500,4081001,-1.0040160642570282
2025-06-19,247000,250000,242000,246000,2317796,-0.2028397565922921
2025-06-20,249000,257000,247500,257000,3597877,4.471544715447155
2025-06-23,252500,263000,248500,259500,3398736,0.9727626459143969
2025-06-24,270000,283000,269500,278500,5436312,7.321772639691715
2025-06-25,289000,291500,284000,286000,5466598,2.6929982046678633
2025-06-26,294500,298500,287000,293000,5894020,2.4475524475524475
2025-06-27,288000,294500,281000,284000,5134863,-3.0716723549488054
2025-06-30,288500,294500,286000,292000,4375298,2.8169014084507045
2025-07-01,291000,294500,285500,285500,3687981,-2.2260273972602738
2025-07-02,283500,283500,274500,279000,4702056,-2.276707530647986
2025-07-03,281000,284000,277000,278500,3642140,-0.17921146953405018
2025-07-04,279500,281500,269000,270500,3654933,-2.872531418312388
2025-07-07,266000,272000,264500,271000,2523564,0.18484288354898337
2025-07-08,271000,285000,268500,282000,3119395,4.059040590405904
2025-07-09,282500,284000,277500,281000,2626484,-0.3546099290780142
2025-07-10,284000,297000,283500,297000,4556065,5.6939501779359425
2025-07-11,299500,306500,292000,294500,3732533,-0.8417508417508417
2025-07-14,292500,302500,292500,300000,2936976,1.8675721561969438
2025-07-15,296000,298500,290000,298500,4196196,-0.5
2025-07-16,298500,299500,292500,296000,3123297,-0.8375209380234505
2025-07-17,283500,289500,268000,269500,9328322,-8.952702702702704
2025-07-18,270000,275000,267000,269000,5245613,-0.1855287569573284
